"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2006-4-1","1,172.35","1,061.96","1,173.88","1,061.96","706.07K","10.49%"
"2006-3-1","1,061.09","1,051.76","1,074.04","999.93","420.44K","0.77%"
"2006-2-1","1,053.01","998.84","1,057.22","989.51","414.90K","4.30%"
"2006-1-1","1,009.60","926.56","1,009.65","926.41","374.81K","9.33%"
"2005-12-1","923.45","873.47","934.00","855.72","255.54K","5.68%"
"2005-11-1","873.83","875.96","886.74","847.49","229.23K","-0.28%"
"2005-10-1","876.28","917.21","926.09","859.69","171.93K","-4.48%"
"2005-9-1","917.39","928.52","971.99","901.38","348.10K","-1.13%"
"2005-8-1","927.92","887.72","959.34","885.85","445.92K","4.48%"
"2005-7-1","888.16","875.93","901.00","818.86","198.13K","1.08%"
"2005-6-1","878.69","855.21","925.37","807.78","312.59K","2.66%"
"2005-5-1","855.95","934.65","937.39","842.10","141.91K","-8.20%"
